group	lib.size	norm.factors	eff.lib.size
15C_A_Sym	999992	1.26969018550597	1269680.02798448
15C_B_Sym	1000016	1.92124307035263	1921273.81024175
15C_C_Sym	999996	1.47847576768212	1478469.85377905
25C_D_Sym	1000006	0.863653887648984	863659.06957231
25C_E_Sym	1000005	1.03396815534321	1033973.32518399
25C_F_Sym	1000006	1.00889696287352	1008903.0162553
32C_G_Sym	999986	0.744670029494719	744659.604114307
32C_H_Sym	1000018	0.578089892401286	578100.298019349
32C_I_Sym	1000019	0.714912270046064	714925.853379195
