15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
15C_A	1	0.659161173355225	0.755050358125393	-0.298423458844571	-0.376818072912395	-0.324176975102702	-0.63169457109131	-0.631229541868722	-0.684596545097895
15C_B	0.659161173355225	1	0.690493745696802	-0.375039752020938	-0.47356713956488	-0.299069316404213	-0.576531320223844	-0.563812249240822	-0.626308037576903
15C_C	0.755050358125393	0.690493745696802	1	-0.319078264986349	-0.425139754655766	-0.335661077595637	-0.615052486622837	-0.605235143292744	-0.643323520003471
25C_D	-0.298423458844571	-0.375039752020938	-0.319078264986349	1	0.515229493603054	0.493032969340473	-0.184403850630382	-0.181330251644644	-0.15437946778092
25C_E	-0.376818072912395	-0.47356713956488	-0.425139754655766	0.515229493603054	1	0.473528102820953	-0.0958455939144061	-0.0589135668370696	-0.0334134055697112
25C_F	-0.324176975102702	-0.299069316404213	-0.335661077595637	0.493032969340473	0.473528102820953	1	-0.204323704743231	-0.197119937139134	-0.143183180891653
32C_G	-0.63169457109131	-0.576531320223844	-0.615052486622837	-0.184403850630382	-0.0958455939144061	-0.204323704743231	1	0.714920558061547	0.772818555328271
32C_H	-0.631229541868722	-0.563812249240822	-0.605235143292744	-0.181330251644644	-0.0589135668370696	-0.197119937139134	0.714920558061547	1	0.731507797287404
32C_I	-0.684596545097895	-0.626308037576903	-0.643323520003471	-0.15437946778092	-0.0334134055697112	-0.143183180891653	0.772818555328271	0.731507797287404	1
