15C_A_Sym	15C_B_Sym	15C_C_Sym	25C_D_Sym	25C_E_Sym	25C_F_Sym	32C_G_Sym	32C_H_Sym	32C_I_Sym
TRINITY_DN2299_c0_g1	1.36903626867136	1.14655018436121	1.10996928669116	-0.563634365884515	-1.48225611980913	-1.64206673304347	-0.454942917360236	0.956174012597492	-0.438829616223863
TRINITY_DN1530_c0_g1	-1.06106576739215	-0.449661669383378	-0.493074064577323	-1.11245591550841	-0.135041080258034	-0.404730338863285	1.57085535932088	1.26930100991974	0.815872466741961
TRINITY_DN728_c0_g1	4.32170758662228	3.86613511283679	4.07786139775233	2.15815905139715	-3.80374204765231	-3.80374204765231	0.791105042000692	-3.80374204765231	-3.80374204765231
TRINITY_DN1453_c0_g1	1.84767422697067	1.31728780007627	1.35162196984466	1.06227300582151	0.933429663589989	0.628920492651634	-2.66179669917771	-1.64550822021604	-2.83390223956098
TRINITY_DN335_c0_g1	-0.548909140917654	-0.882934840463222	-1.39828395726841	0.598898323080149	1.67451214653911	1.46303523975353	-0.616673702607026	-0.172221824253914	-0.117422243862557
TRINITY_DN1184_c0_g1	1.26679512762375	1.92614219837822	0.850027644810387	-1.81325217998879	-4.4204625404419	-1.52150115017687	1.10481224826662	1.00250436510191	1.60493428642666
TRINITY_DN2119_c0_g1	-1.22250251344688	-1.63062640356799	-1.49091495414713	1.25915959795177	0.879757100714581	0.587481569259218	0.382409275323923	0.764672344428327	0.47056398348419
TRINITY_DN1414_c0_g1	1.40705687402326	1.80595621006441	0.659425443956571	-1.63444954030127	-0.874860739929405	-1.66028300436878	0.13710933707543	-0.292320797164609	0.452366216644386
TRINITY_DN2263_c0_g1	4.14971210398094	1.32625899378561	2.61368111781481	-5.84523808915278	-5.84523808915278	-5.84523808915278	3.70267052969068	2.44602471864392	3.29736680354236
TRINITY_DN1307_c0_g1	-1.27678696316006	-3.68453976914468	-1.86890784290537	2.14737369128151	1.66969016119273	2.62109541617738	-0.0128837009076168	0.091659892019285	0.31329911544683
TRINITY_DN1466_c0_g1	3.53904939441947	3.33083079917433	2.50102035541054	1.23247381188404	-1.87418033723667	-2.17904241762828	-0.616687792266575	-2.57820990261533	-3.35525391114153
TRINITY_DN1958_c0_g1	3.34611139430915	3.09481990878267	2.31704878891997	-4.14583787848407	-4.14583787848407	-4.14583787848407	1.75016749767229	0.736316038802943	1.19305000696517
TRINITY_DN749_c0_g1	1.3629294337327	1.33290919907764	1.00514676630927	-1.85822118583762	-0.614936266965254	-1.88330682987004	0.163048729353967	0.677674358099118	-0.185244203899781
TRINITY_DN1158_c0_g1	-0.914391306799947	-3.7854022063814	-1.56950851446738	1.84453617144414	1.8269585915163	2.58938533879596	-0.273902055710717	0.170646823376922	0.111677158226133
TRINITY_DN207_c0_g1	2.59974818783829	2.43830746334524	1.77598597987248	-0.26730890255515	0.0139530671595054	0.426154244699465	-0.34742770219088	-1.33718345126465	-5.30222888690431
TRINITY_DN579_c0_g1	-0.619457288625485	-1.92862299382036	-1.12566578029866	0.530533106038168	0.144482389867576	-0.744934568923604	1.70527646505531	1.57379776423053	0.46459090647652
TRINITY_DN1625_c0_g1	2.51015482767777	1.953677599223	2.48221331294413	-5.35847021094049	-5.35847021094049	-0.542997249853153	1.62290298617161	2.04064960133852	0.650339344379105
TRINITY_DN1386_c0_g1	-2.46071983338027	-2.15244953005844	-2.59469562126164	1.08226141305547	0.651272052330171	0.208306111661294	1.65498403072918	1.94529129437506	1.66575008254918
TRINITY_DN1210_c0_g1	-1.33292398424134	-1.4488751895698	-0.494451695038705	-0.992296599442467	0.230003530452382	-0.998037530806569	1.98839354017872	1.51876184824416	1.52942608022363
TRINITY_DN280_c0_g1	1.53925892051985	2.69924510606666	1.48146426674391	-1.13785561699034	-1.2928466391549	-2.29677894079684	-0.333047377043078	-0.272973082288427	-0.38646663705684
TRINITY_DN2369_c0_g1	-2.40645180025234	-2.35229022062892	-2.09981298260305	1.1657074989392	0.969323628131706	0.126496554726424	1.56428108477649	1.69612955424896	1.33661668266153
TRINITY_DN311_c0_g1	-1.2106575156062	-1.37259257044447	-2.41845792696988	0.979426740808654	1.04591019467658	0.378541217823006	0.922720795858524	0.913102459324435	0.762006604529352
TRINITY_DN1197_c0_g1	-3.39239290147667	-2.20323646525217	-1.84565954080371	1.55705050189264	1.31255127297265	0.916536001947762	1.33408340354795	1.08420470956691	1.23686301760463
TRINITY_DN391_c0_g1	3.02903327469216	3.3848970821669	2.70740362234116	-4.1388765581751	-4.1388765581751	-4.1388765581751	1.30101248944468	1.89467859258073	0.0996046132996602
TRINITY_DN86_c0_g1	-1.44020366163895	-1.21015623718407	-1.51739269543206	-0.753955609426579	0.115152277283924	0.409995867152726	1.29262200372894	1.47360096883848	1.63033708667759
TRINITY_DN1217_c0_g1	-2.34565917669251	-1.2666255681135	-1.63442981052834	0.703718890651427	0.778838133577596	0.343500378776231	1.12518745482913	1.33293340590514	0.962536291594837
TRINITY_DN1833_c0_g1	-0.000323422971032272	-0.966524618251912	-0.959431576397561	1.60274550780633	2.06012275341379	1.31450733141466	-1.18318191226669	-1.16378644712229	-0.704127615625288
TRINITY_DN1915_c0_g1	1.75715389311571	1.9806596262716	2.41020554120647	-4.26417036309023	-4.26417036309023	-4.26417036309023	2.58850270644388	2.28955875457429	1.76643056765872
TRINITY_DN841_c0_g1	2.08293570258489	3.44754471169563	1.42933000653488	-0.138983510923714	-2.57149512692675	-6.39951733372043	0.54849940305565	0.510015781226462	1.09167036647338
TRINITY_DN1080_c0_g1	2.06049001999523	1.04197953552456	0.936435960179931	-0.826797381838256	-1.11637653979595	-6.61459548893882	1.48453136309806	1.03262546691899	2.00170706485625
TRINITY_DN568_c0_g1	2.45853052138932	2.54701844407822	2.05930810874901	-0.417199905060576	-1.43054416680203	-6.66569679101996	0.547203224813695	0.301621705109794	0.599758858742534
TRINITY_DN1467_c1_g1	-2.40546981458031	-1.92571561363667	-0.869554946410783	0.669103372877288	0.107525990659235	-0.416684014470585	1.14514997732209	2.23818955494331	1.45745549329643
TRINITY_DN867_c0_g1	1.12881972813728	2.0933402474816	1.44476228351044	-0.442246187380983	-2.68515716424929	-2.28021365597616	0.561058672231832	0.337202583600984	-0.157566507355697
TRINITY_DN1456_c0_g1	-1.59708419276473	-2.85092765833178	-0.899971111533164	0.0494658320233441	-0.468385682867348	-3.79830380294517	3.65394578916773	2.86594843101804	3.04531239623309
TRINITY_DN1173_c0_g1	-2.44086723591073	-2.32777661132768	-2.73577693890832	0.864182758794083	0.74562335830538	0.351553290906539	1.81919438110266	2.09675922438289	1.62710777265518
TRINITY_DN1300_c0_g1	1.44860077866983	1.26498378405835	1.37530375950435	-1.57965138907117	-0.681393206720445	-1.08727384117583	-0.0679104212562383	-0.308675766068985	-0.363983697939862
TRINITY_DN2253_c0_g1	-0.903851662069991	-1.37154510571984	-1.45081316627073	0.716756983969793	0.241646426538303	0.588062702828127	1.08176240046537	1.03060299959061	0.0673784206683541
TRINITY_DN1003_c0_g1	1.28868444969224	2.30964921530178	1.53527631922499	0.30082659399839	0.521842139216329	-2.41447717896897	-0.650844841198252	-1.10044661002457	-1.79051008724195
TRINITY_DN1892_c0_g1	0.374830327298344	1.69691302702333	1.22906910076432	2.56322877564715	1.41680013864709	1.83593360993995	-1.99101242436711	-5.84720137518615	-1.27856117976692
TRINITY_DN1593_c0_g1	3.09231572363235	4.30460491948981	2.57898386683714	-3.53819167885502	-3.53819167885502	-3.53819167885502	1.13389416551734	-0.458216302134424	-0.0370073367771502
TRINITY_DN1457_c0_g2	-1.04253753283475	-1.83549798762773	-0.807141625900652	-0.0725869777028034	-0.264854133892815	-0.788041534508109	1.10952173749033	2.27872181101115	1.42241624396538
TRINITY_DN837_c0_g1	3.11901221475327	2.57623228978644	3.09255127308363	-4.27601629977896	-4.27601629977896	-4.27601629977896	1.1431854740698	1.01466612642472	1.88240152121903
TRINITY_DN2053_c0_g1	4.44893416341666	4.68596449193596	2.99959674441859	-2.02241589996187	-2.02241589996187	-2.02241589996187	-2.02241589996187	-2.02241589996187	-2.02241589996187
TRINITY_DN131_c0_g1	1.63774197114906	1.41162571513853	1.39601004137185	-0.449130434905572	-0.890354700512435	-1.05093471198069	-0.588948147242554	0.903624869421859	-2.36963460244003
TRINITY_DN1012_c0_g1	-0.799785416224381	-3.33972983542514	-1.33211886322522	1.63845072064054	1.33711428391917	2.26047257805861	0.185008760548564	-0.31933162431323	0.36991939602108
TRINITY_DN2367_c0_g1	2.07575707851846	3.99937035393047	2.12227897858555	-3.71480646233604	-3.71480646233604	-3.71480646233604	1.66772246210544	0.416124407490411	0.86316610637777
TRINITY_DN721_c0_g1	1.72849593084729	2.31128864977292	2.12268287593756	-1.5724096486024	-1.29945395296852	-0.897551051730907	0.535370330346771	-1.68564255870968	-1.24278057489304
TRINITY_DN1545_c0_g1	1.58857895845754	0.848659134320048	1.57439484528988	-1.36751544863264	-2.23772039682734	-1.50380346228137	0.0939053560730443	0.616649640130314	0.386851373470517
TRINITY_DN1349_c0_g1	-1.44073992102444	-1.15889666237823	-1.25856268002839	-0.248066547231976	0.657717078274808	0.844116587258665	1.03320077477551	0.653211754650484	0.918019615703574
TRINITY_DN903_c0_g1	-1.08594299655967	-2.19300741031827	-0.693924861658834	0.355457782242841	0.813412545266658	-0.0584172468397792	1.34128493530577	0.817905644312823	0.703231608248466
TRINITY_DN2273_c0_g1	1.7357938240213	2.22906256151893	1.11681070074695	1.67249291906417	-1.75415383632498	-1.91485874708312	-0.049190536966961	-1.74979668079203	-1.28616020418426
TRINITY_DN865_c0_g1	-1.55926456303263	0.611050990257102	0.268665641911774	0.393548879507286	3.35779738643579	3.6860857974079	-2.31510630414404	-2.61189370141576	-1.83088412692742
TRINITY_DN2268_c0_g1	1.41886273343278	0.912512761486918	1.52101702628406	-1.85296148358123	-1.57120616498363	-0.169845654976275	-0.115607828234839	-0.19423517000323	0.0514637805754461
TRINITY_DN354_c0_g1	1.85235882429462	1.11846487424657	1.47728734022909	-0.62484303536716	1.22321458494725	-1.47024054781175	-1.01801341376379	-0.743573151002293	-1.81465547577254
TRINITY_DN1331_c0_g1	-1.46252182719394	-1.29244247888375	-1.59724895221151	0.900348505386196	0.516290192749221	0.279903203323823	0.868141813815976	1.02330125183048	0.764228291183509
TRINITY_DN1428_c0_g1	-1.48293608496879	-1.08363865320544	-1.56209903212732	0.656184956976551	0.317174349655225	-0.0425259699489153	1.16558517532328	1.16665332562452	0.865601932670897
TRINITY_DN2023_c0_g1	-0.0340123293848436	-0.979598799617932	0.0755717458592473	0.500761685982867	1.68907363438356	2.72423669415993	-1.84827198303047	-1.57663506816645	-0.551125580185909
