15C_A_Sym	15C_B_Sym	15C_C_Sym	25C_D_Sym	25C_E_Sym	25C_F_Sym	32C_G_Sym	32C_H_Sym	32C_I_Sym
15C_A_Sym	1	0.806451203632563	0.912309713762386	-0.668949301854407	-0.676488132833599	-0.616376514805993	-0.18418376777299	-0.318766474562011	-0.298151720929349
15C_B_Sym	0.806451203632563	1	0.90307509731146	-0.722169796121824	-0.70793774194179	-0.673056689758254	-0.112392867015643	-0.249631311248577	-0.255935822805802
15C_C_Sym	0.912309713762386	0.90307509731146	1	-0.705103727336411	-0.703419816682957	-0.645752599685137	-0.204817122844586	-0.296362378882243	-0.305634261129701
25C_D_Sym	-0.668949301854407	-0.722169796121824	-0.705103727336411	1	0.755895180783788	0.663426304771887	-0.281859696052232	-0.194853256368319	-0.234387936920276
25C_E_Sym	-0.676488132833599	-0.70793774194179	-0.703419816682957	0.755895180783788	1	0.720248917849217	-0.356848884964198	-0.233126391573463	-0.256006552400768
25C_F_Sym	-0.616376514805993	-0.673056689758254	-0.645752599685137	0.663426304771887	0.720248917849217	1	-0.409292310211545	-0.273117489562074	-0.299870173788618
32C_G_Sym	-0.18418376777299	-0.112392867015643	-0.204817122844586	-0.281859696052232	-0.356848884964198	-0.409292310211545	1	0.624577382486953	0.717959679495357
32C_H_Sym	-0.318766474562011	-0.249631311248577	-0.296362378882243	-0.194853256368319	-0.233126391573463	-0.273117489562074	0.624577382486953	1	0.681682569078315
32C_I_Sym	-0.298151720929349	-0.255935822805802	-0.305634261129701	-0.234387936920276	-0.256006552400768	-0.299870173788618	0.717959679495357	0.681682569078315	1
