15C_A_Sym	15C_B_Sym	15C_C_Sym	25C_D_Sym	25C_E_Sym	25C_F_Sym	32C_G_Sym	32C_H_Sym	32C_I_Sym
TRINITY_DN0_c0_g1	-0.674016901636283	0.853857514268024	0.00322272217295438	0.399702186496659	-0.309186793564129	-1.2293809774119	0.718035728737659	0.0240444935835145	0.213722027353506
TRINITY_DN1000_c0_g1	1.59121346333472	0.872951682964952	1.37832447156883	0.579557547016661	0.633405982167731	-0.264407326828832	-1.38736269929965	-2.44088184828545	-0.962801272638962
TRINITY_DN1001_c0_g1	-0.519196799159391	0.620407877577856	0.156542032950354	-0.730571157746838	0.60589488468376	0.814755421236523	-0.0895715753734247	-0.877870593076344	0.0196099089075084
TRINITY_DN1001_c1_g1	0.59851213277922	1.41328648710696	0.58805330702366	0.103141567846569	-2.26639456681469	1.1978979748941	-0.911448531580882	0.485512079555409	-1.20856045081035
TRINITY_DN1002_c0_g1	-0.212725388869333	1.01195553405858	-0.300458550904886	-1.80834017173502	0.0931760111763777	4.24541729815866	2.17234971576552	-7.1587215714041	1.95734712375419
TRINITY_DN1003_c0_g1	1.63003413325782	3.24848885780585	2.09605174974507	0.0879488901992946	0.567221763621184	-2.40428718725108	-1.07501741694196	-1.88235214124681	-2.26808864918938
TRINITY_DN1004_c0_g1	-0.601420804993237	0.727563420893366	0.0136589451084568	0.388257186671492	-0.12021759722772	0.192568793453251	-0.195594969875637	-0.0909547799846298	-0.313860194045334
TRINITY_DN1005_c0_g1	2.43587964154649	3.26495828572153	2.19967045697567	0.156358021076635	-0.266819851192475	-4.19482012079957	1.30548025518987	-4.19482012079957	-0.705886567718589
TRINITY_DN1006_c0_g1	0.762608889678083	0.882619618009092	0.932518075281132	0.0365585426465058	-0.928641490276562	-1.34083802703693	0.48453701218948	-0.523239108591869	-0.306123511898929
TRINITY_DN1008_c0_g1	0.380298324740153	1.90885301316516	0.812388746015829	-0.991723649763396	-0.620541901913031	-0.124837245863544	-0.552211720167596	-0.557525543380581	-0.25470002283299
TRINITY_DN100_c0_g1	0.549326613399171	1.90711676131166	1.25537722777624	0.853309690350084	-0.506527390667837	0.862375976534626	-2.33802326875756	-0.899479383055968	-1.68347622689041
TRINITY_DN1010_c0_g1	0.881829543719714	1.01336564207937	0.689667854196633	-0.366890868248168	-0.477030748027444	-0.752237747431979	0.105026518559454	-0.650884790452406	-0.442845404395181
TRINITY_DN1011_c0_g1	3.75697368384076	2.41290146291592	2.96689884095319	-0.799924286694173	-1.2994513747323	-4.41756087763897	-0.113518028899218	-1.12290733303803	-1.38341208670718
TRINITY_DN1012_c0_g1	-0.455027259380767	-2.40721669720308	-0.768664058458427	1.4281760488352	1.38635797720454	2.27434937454115	-0.238604483424592	-1.10686423318246	-0.112506668931557
TRINITY_DN1014_c0_g1	0.167784413884844	1.86709720813836	0.779547102606388	-1.17013094489473	-0.0523166105771908	0.742687060511582	-0.681488953079503	-0.558708460725079	-1.09447081586467
TRINITY_DN1015_c0_g1	0.609217462457235	0.906838794773947	0.120336435637538	0.243713847200365	-0.424862391342644	1.82473259577277	-1.16744309261521	-1.37094628951814	-0.741587362365867
TRINITY_DN1019_c0_g1	0.141550626215575	-0.460779003846882	0.417376112239652	0.0893459132616679	1.15590740766015	-0.496247478051981	-0.465115655784224	-0.546962107610628	0.164924185916667
TRINITY_DN101_c0_g1	-0.657393140815705	0.714452605304287	0.493030431237158	0.886400738963743	1.18629884674136	0.895471148905263	-1.37358522189244	-1.45465294373707	-0.69002246470659
TRINITY_DN1020_c0_g1	3.27724223266344	3.095729210286	3.03019522935469	-5.91474885974172	-5.91474885974172	-1.06108837472605	1.42975388446101	0.849479136802922	1.20818640064143
TRINITY_DN1021_c0_g1	1.91823311179924	1.96684062101867	2.03997089814489	0.0707404056083814	-0.685207493956982	-5.96142139861052	1.02634785061602	-1.8866852524209	1.51118125780122
TRINITY_DN1022_c0_g1	-0.696007928975811	1.90753465703458	0.953518173612304	-0.179344340803951	2.44518346153689	3.01059462828563	-1.25256716119154	-3.42312602140704	-2.76578546809106
TRINITY_DN1023_c0_g1	0.33166083601462	0.892967947755363	0.878910177307755	0.659247455507888	0.165537290096736	-0.170364084561051	-0.652029937649957	-1.79953213873697	-0.306397545734383
TRINITY_DN1024_c0_g1	-0.169087876589316	-2.55978222325677	-1.19004264897333	1.93774111513082	1.40881651565361	2.34155279765011	-0.507470129459819	-0.939205825432881	-0.322521724722415
TRINITY_DN1026_c0_g1	0.355308743447885	1.7736541771293	1.21383600309546	-1.56728515103069	-0.555241960474587	-0.654642565879159	-0.214204554305176	-0.0953700106225206	-0.256054681360509
TRINITY_DN1028_c0_g1	0.126030566152785	1.01912487407395	0.00419781946629705	-0.725221528916508	1.15490370058309	0.910581503551066	-0.685196633549073	-0.815642082673794	-0.988778218687805
TRINITY_DN1029_c0_g1	1.8557835862262	1.25787635881606	1.80773299729864	-1.27579547959118	-0.295990333055636	-0.416734062157698	-0.791084915074032	-0.941690081051533	-1.20009807141081
TRINITY_DN1030_c0_g1	2.31242843124657	1.32256039850942	1.82011871010997	-1.02463287081992	0.2774477793379	-1.06348360985435	-1.06548870998038	-0.618503852685317	-1.96044627586389
TRINITY_DN1031_c0_g1	0.0208867842577352	0.725988579205637	0.491648026802437	-0.946537298136779	0.255983821309544	0.0399514174500784	-0.138597081892227	-0.046523583853384	-0.402800665143046
TRINITY_DN1032_c0_g1	-0.285468231199431	-2.82034509781695	-1.09542814435111	1.63129460196194	1.83360810909119	2.47872141227316	-0.632166563471953	-0.912911145788106	-0.197304940698736
TRINITY_DN1033_c0_g1	0.635898945099409	2.76407314835634	1.03549848117339	-1.1785357567898	-5.60659312254954	-1.79368702013774	1.31618903644738	1.18104174148636	1.6461145469142
TRINITY_DN1034_c0_g1	-1.04726876297218	-0.976815475039103	-0.531139802778917	-1.32328452427859	-0.322228055373603	-2.37318946871008	2.87683860609518	1.80819702669691	1.88889045636038
TRINITY_DN1035_c0_g1	0.554890906372054	1.13817806461749	0.946787207655535	-0.227492964404354	0.835777017970059	0.257313055965756	-0.620544974392213	-1.30091427532696	-1.58399403845738
TRINITY_DN1036_c0_g1	0.582491440623355	2.10529294214322	1.25635277426899	-0.904401634911891	-0.815329167334697	-0.115677608869471	0.176142350351281	-0.817127497618428	-1.46774359865235
TRINITY_DN1039_c0_g1	0.985525460825233	1.38649565161738	0.916110473129438	0.113406160305564	0.501002791237368	0.275845590316639	-1.98276747932875	-1.24778485300505	-0.947833795097831
TRINITY_DN1040_c0_g1	0.0460564464275013	1.1236060815296	0.547344890710001	-0.516087529021136	-0.703369057748136	-0.389131910411802	-0.220695435898588	-0.0439811386471636	0.156257653059729
TRINITY_DN1041_c0_g1	0.570184949090999	1.23321624309699	0.944498286894358	-0.709370806376221	0.287521213136513	0.000638944871111491	-0.451938205446787	-1.24074855531244	-0.634002069954517
TRINITY_DN1044_c0_g1	1.16850666803727	1.93742092950845	1.45771660318053	-0.189451990898881	0.147369951126727	-0.0459012111295749	-1.37280095161272	-1.63116937574822	-1.47169062246359
TRINITY_DN1047_c0_g1	3.21159698681841	4.45315534475453	2.7788304104894	-1.846497480496	-1.88108833963379	-2.45999771071681	-1.48413653434409	-0.998540871453208	-1.77332180541844
TRINITY_DN1048_c0_g1	0.825896570406302	1.52411081875002	1.0891103289046	-2.78761421722914	-0.519832451048729	0.506734603278337	-0.328338158279758	0.169498420056056	-0.479565914837698
TRINITY_DN1050_c0_g1	0.851486076862757	0.350135650563526	1.18777794155856	0.0248978966032309	-0.422307623269322	0.221824285514461	0.170873661452803	-1.17735364973199	-1.20733423955402
TRINITY_DN1051_c0_g1	0.45796452760232	0.595023859029823	1.15292062043796	-0.763152782215803	0.529835343537751	0.537337024961612	-0.581341768617911	-1.4159694397551	-0.512617384980649
TRINITY_DN1052_c0_g1	2.02821257531059	0.893395736748734	1.7823687081281	-1.21032234900333	0.710315962074741	-1.27206375560543	-0.926683751561019	-1.44617954680675	-0.559043579285637
TRINITY_DN1053_c0_g1	0.152417833238086	-2.94871085085235	-1.00324538701039	1.78965489640147	1.54574032629203	2.53080957076543	-0.691804195330091	-1.07393672292903	-0.300925470575169
TRINITY_DN1054_c0_g1	1.21925088893403	0.604109907216363	1.08920041487167	-0.825981478086887	-0.281494010184586	0.22787854543536	-0.383764690808379	-0.898155400308558	-0.751044177069017
TRINITY_DN1055_c0_g1	0.694460794666025	1.1463380375881	0.839760496278668	-0.312461295061983	-1.31253621561422	-0.313430075227984	-0.0689373930996187	-0.187331118649778	-0.485863230879218
TRINITY_DN1056_c0_g1	0.155820671815898	2.57420813277961	0.802464761253513	-1.50071499263295	-0.969048864908173	2.63186726625389	1.41972779024824	-6.34460183910494	1.23027707429492
TRINITY_DN1058_c0_g1	-4.28340622344091	1.7687945808494	-4.28340622344091	-4.28340622344091	0.985169794005104	6.8245440445118	3.8283586065194	-4.28340622344091	3.72675786787795
TRINITY_DN1059_c0_g1	2.86803760141475	3.67104854220971	2.85775290265616	-4.93786693198323	-4.93786693198323	0.472295831134447	0.505839603280477	-0.141709840952411	-0.357530775776668
TRINITY_DN105_c0_g1	2.05558403125926	2.56661106030693	1.91448356435529	-4.60354468331655	-4.60354468331655	1.06477491416778	1.31258766447062	1.01356865756616	-0.720520525492943
TRINITY_DN1060_c0_g1	-1.80376648022971	1.6916817295661	0.781900269115723	-0.693273332661271	0.927012637351559	2.74400060980305	-0.985057504766546	-1.06568073496897	-1.59681719320993
TRINITY_DN1061_c0_g1	3.71942940616312	3.62499359510201	1.87440370647746	-3.58375602161658	-3.58375602161658	-3.58375602161658	0.62243886525874	-0.374786124531823	1.28478861638025
TRINITY_DN1063_c0_g1	-1.23191081462198	0.72130591824127	0.206819011788662	0.285372057898063	1.92992417847929	1.41750368867607	-0.845497456739114	-0.776229974077896	-1.70728660964438
TRINITY_DN1064_c0_g1	-1.81369559581144	-1.61542416828054	-1.44647454781045	0.708118948270313	0.651957203584963	0.451562565016276	1.2023760751705	0.788565477709673	1.0730140421507
TRINITY_DN1065_c0_g1	4.25943494094522	3.33551713443661	3.95657952734134	-2.51602586574674	-1.79107844968311	-2.39179732561978	-1.71198220175331	-1.05151350529688	-2.08913425462335
TRINITY_DN1067_c0_g1	0.307821756292169	1.09868718946868	0.509467389416114	-0.316759856373707	0.0932315649028972	-1.83184867877686	0.410718866693776	-0.476350650102079	0.205032418479016
TRINITY_DN106_c0_g1	0.142315027424544	0.524106253892738	0.795074422047012	-0.647643153549061	0.67454283697421	0.414623383246456	-0.529861127009996	-0.218891180446301	-1.1542664625796
TRINITY_DN1071_c0_g1	1.5956839031784	1.65540227403276	1.84719578792413	0.586204455564384	-0.270332016632905	0.52160227411711	-2.90245084313297	-0.773478420997517	-2.2598274140534
TRINITY_DN1074_c0_g1	0.524558153815055	0.87874480700438	0.896843754342606	-0.90641601751063	-0.00267074099964582	0.670092929828406	-1.15989595114744	-0.716573909030636	-0.184683026302089
