15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
PPDK(DN10882_c0_g1)	0.897151355796809	1.15914573151884	0.5711455201593	0.564178069051645	-0.838544107793959	-0.940142247801766	-0.165530492504351	-0.452064219197726	-0.795339609228792
CAB6(DN11902_c0_g1)	1.17333032087164	1.08997687271527	0.640134014105472	-0.582407530704248	-0.149989515949907	-0.0563967156614955	-0.604498079588512	-0.558595015984218	-0.951554349803997
NU1C(DN12400_c0_g1)	0.452150780256648	-0.114146553072141	0.0701865606472143	-0.556625706174593	-0.665214894081921	-0.568063348387588	0.345908484389789	-0.00695918875925017	1.04276386518184
PSBC(DN12754_c0_g1)	1.0612768735875	0.465734933031501	1.18583657082089	-0.817730044199303	-0.890979026229942	-0.818750698674763	-0.265792047899287	0.380706313877799	-0.300302874314392
PSBD(DN13730_c0_g1)	1.31674479203941	0.376017921337366	1.21793177584047	-0.481887197715354	-0.9984525366945	-1.0238564806682	-0.331572025003094	0.263269731676503	-0.338195980812602
PSB28(DN15041_c0_g1)	0.487640125760631	0.760409267574293	0.537754323256339	-1.2753091449267	-1.43493833074793	-1.43493833074793	0.976759072772945	0.632011913176701	0.750611103881641
PSB28(DN15041_c1_g1)	0.862919748686272	0.637527180615641	0.066945991050996	-1.08231337444863	-0.833778538309948	-0.615555758722455	0.524128853682981	0.313297874055176	0.126828023389965
PPD3(DN25799_c0_g1)	1.24988459543253	0.883134114794378	1.25195792997988	-0.430125113921596	-1.14728222700762	-1.46829981694782	-0.0470181035341934	-0.0318050095876863	-0.260446369207865
CHLM(DN28010_c1_g1)	0.182431844531659	1.57150585296871	0.323578339525125	0.418959938445281	-0.573655494804492	-0.651330679512044	-0.369760322240822	-0.70303058593333	-0.198698892980088
LHSR1(DN28013_c0_g1)	-1.03396139954922	-0.526791059434214	-1.05169216966947	0.247559377804188	-0.0297440530466009	-1.03936011295544	1.348795495589	1.31463272529117	0.770561195970584
CHLD(DN28609_c0_g1)	0.977280348738117	1.01320230809984	1.17188822792575	-1.28075780623919	-0.707675157433571	-1.13776045979292	0.448881790838141	-0.0872865296222103	-0.397772722513957
LHSR1(DN31261_c1_g1)	-1.04883191754762	-0.405590528687806	-1.08304116269019	0.243847493098903	-0.109873832113845	-0.950213148365947	1.29145136456948	1.35249251630799	0.709759215429045
LHR32(DN32141_c0_g2)	1.95298920345128	1.33821276795461	1.5114600483026	0.706901869884244	0.554776684868784	-0.544009160762911	-2.15031018584977	-0.895193008484556	-2.47482821936428
THF1(DN33218_c0_g1)	2.28200907169279	1.41259571860995	1.51575292940802	-0.391549111360847	-0.963523707821575	-1.73168848189835	-0.464044256354907	-0.783025067191932	-0.876527095083153
PAM68(DN33259_c0_g1)	1.81272961836102	1.35579870889756	1.30978828897286	-0.411531444723038	-1.04605563416292	-1.12493642294796	-0.598646830035637	-0.600303513518228	-0.696842770843667
FCPF(DN33827_c1_g1)	-0.302618418618819	0.416815132446671	-0.155147405692676	-0.649934047350601	-1.0462674705251	-1.62617877893786	1.3609798494802	1.26917997948142	0.733171159716766
PPDK(DN343_c0_g1)	0.060331709459998	0.962011774706256	0.375557087979752	-0.845011759951042	-0.496425910002035	-0.437532220948467	0.296807903810916	0.177998218095458	-0.0937368031508361
CHLH(DN34897_c0_g1)	1.27858170857306	1.70400748520895	1.4685320018723	-1.25686420358177	-1.387011713736	-2.09342533292173	0.535870818350495	-0.260010301450382	0.0103195376850764
FCPD(DN36241_c0_g2)	-1.05037492254606	-0.82813412490922	-1.18690694635468	0.0728659097658229	-0.492404206055268	-0.299282139303144	1.69100084703544	0.991429496917801	1.10180608544931
CHLP(DN36512_c0_g1)	2.36376970621504	2.26146408460804	2.30451586964941	-1.6085047927284	-1.16812095467222	-1.97484406043825	-0.287481296873626	-0.986650058812066	-0.904148496947922
FCP(DN36837_c1_g1)	-1.35590587499235	-0.677097997684005	-1.35383273266225	0.504393275943498	-0.167999234311258	-0.632869422445163	1.41842802925459	1.38943206365322	0.875451893243707
FNRR2(DN38142_c0_g1)	0.706761530527003	1.92908095898891	0.760667524784163	-0.286166576951904	-1.02440382835416	-1.29483603241268	-0.0263664986269978	-0.107595827477216	-0.657141250477117
KPPR(DN38524_c0_g1)	1.35803437250091	1.99428491546817	1.0738274307254	-0.6706242204787	-1.27104710210395	-2.24350448352515	0.166821040971961	-0.27026300932298	-0.137528944235668
LHSR1(DN3866_c0_g1)	1.62156329592889	1.85193810237973	1.44736486192813	-0.821365485823849	-0.993853001333983	-0.773523046454428	-0.817530228693521	-0.591130824488379	-0.923463673442586
PSBA(DN39066_c0_g1)	2.42388003736015	1.54210702970447	1.92296690410074	-0.902205182387182	-1.460010688167	-2.14420614092699	-0.692742089117548	0.204041436498029	-0.893831307064661
PSBA(DN39066_c0_g2)	2.90778779888867	1.94163281414451	2.32075867987359	-1.34135154715484	-1.80436675705111	-2.59021914211019	-0.883214745385056	0.152437564133871	-0.703464665339436
FCP(DN40024_c0_g2)	-1.2103765900257	-0.533925387245151	-1.37668858314167	0.268685604174443	-0.342854921189106	-1.09187892428065	1.64994592760675	1.63378070325161	1.00331217084948
PGK(DN40394_c0_g1)	0.762285364683241	1.70621747052865	0.748394208978834	-0.611269607093637	-0.936954304580305	-1.98470743602867	0.106795284511338	0.260214247202073	-0.0509752282015139
FCPB(DN42427_c0_g1)	-1.03432855528859	-0.371658876165887	-0.759790703452437	0.265142917100151	-0.64546778119849	-1.3309938764887	1.56668438542228	1.42718820358721	0.883224286484453
KPPR(DN4429_c0_g1)	0.135096790884571	2.15581276792467	0.617441285499651	-0.986354327579997	-1.51842187986903	0.0319863133482519	0.291815550721698	-1.51842187986903	0.791045378939211
PSAA(DN48908_c0_g1)	1.23091095370041	0.68461416913234	0.784240319309347	-0.195218273959752	-0.988489928457834	-0.860196527448017	-0.290716108902649	0.47408595958437	-0.839230562958212
PSAA(DN48995_c0_g1)	1.55615111441271	0.947708720115815	0.976602109877922	-0.953598965195858	-0.505332660256792	-0.38773990373979	-0.882690588894152	-0.365812790908353	-0.385287035411506
PGKH2(DN50877_c0_g1)	-0.290072633280796	0.81662195819689	-0.0433066165917512	-0.772854739195474	-0.584686488577268	-0.409599782019177	0.999915203078387	0.302224377599033	-0.0182412792098434
PSAD(DN50973_c0_g1)	1.50668354119129	0.436972171508271	1.11129012149783	-0.535834865601162	-1.06790241789019	-0.548863808290134	-0.779839217564877	0.1331040481659	-0.255609573016922
